SOUNDS/zh-CN-f/SYSTEM;0000.wav;0;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0001.wav;1;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0002.wav;2;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0003.wav;3;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0004.wav;4;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0005.wav;5;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0006.wav;6;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0007.wav;7;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0008.wav;8;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0009.wav;9;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0010.wav;10;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0011.wav;11;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0012.wav;12;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0013.wav;13;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0014.wav;14;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0015.wav;15;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0016.wav;16;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0017.wav;17;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0018.wav;18;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0019.wav;19;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0020.wav;20;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0021.wav;21;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0022.wav;22;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0023.wav;23;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0024.wav;24;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0025.wav;25;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0026.wav;26;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0027.wav;27;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0028.wav;28;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0029.wav;29;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0030.wav;30;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0031.wav;31;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0032.wav;32;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0033.wav;33;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0034.wav;34;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0035.wav;35;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0036.wav;36;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0037.wav;37;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0038.wav;38;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0039.wav;39;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0040.wav;40;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0041.wav;41;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0042.wav;42;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0043.wav;43;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0044.wav;44;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0045.wav;45;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0046.wav;46;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0047.wav;47;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0048.wav;48;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0049.wav;49;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0050.wav;50;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0051.wav;51;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0052.wav;52;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0053.wav;53;zh;CN;f;
SOUNDS/zh-CN-f/SYSTEM;0054.wav;54;zh;CN;f;
